ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28335479 753929.144 3753117.491 297.043 0.843 0.04768 12.931 62638.67204 -84.254300258 33.887871394
28335480 753929.14 3753117.503 296.91 0.302 0.03739 12.914 62638.67208 -84.254300291 33.887871508
28335481 753929.156 3753117.478 296.777 0.255 0.02711 12.941 62638.67211 -84.254300131 33.887871276
28335482 753929.169 3753117.456 296.644 0.255 0.01683 12.965 62638.67214 -84.254299991 33.887871079
28335483 753929.185 3753117.432 296.511 0.282 0.00655 12.994 62638.67218 -84.254299833 33.887870851
28335484 753929.182 3753117.442 296.377 0.847 -0.00373 12.985 62638.67221 -84.254299856 33.887870946
28335573 753929.193 3753117.639 297.803 0.808 0.10926 12.554 62638.68516 -84.254299687 33.887872722
28335574 753929.213 3753117.603 297.677 0.851 0.09898 12.584 62638.68519 -84.254299473 33.887872390
28335575 753929.21 3753117.615 297.547 0.855 0.08870 12.562 62638.68523 -84.254299503 33.887872499
28335576 753929.224 3753117.593 297.419 0.863 0.07842 12.579 62638.68526 -84.254299360 33.887872295
28335577 753929.227 3753117.593 297.289 0.855 0.06813 12.572 62638.68529 -84.254299332 33.887872297
28335578 753929.222 3753117.609 297.159 0.859 0.05785 12.549 62638.68532 -84.254299382 33.887872440
28335579 753929.241 3753117.576 297.031 0.855 0.04757 12.582 62638.68536 -84.254299182 33.887872136
28335580 753929.252 3753117.56 296.902 0.859 0.03729 12.597 62638.68539 -84.254299072 33.887871991
28335581 753929.25 3753117.568 296.773 0.859 0.02701 12.587 62638.68542 -84.254299082 33.887872061
28335582 753929.26 3753117.554 296.643 0.859 0.01673 12.602 62638.68545 -84.254298984 33.887871938
28335583 753929.264 3753117.552 296.514 0.855 0.00645 12.606 62638.68549 -84.254298940 33.887871914
28335584 753929.274 3753117.537 296.384 0.855 -0.00383 12.625 62638.68552 -84.254298835 33.887871780
28335669 753929.301 3753117.702 297.774 0.565 0.10925 12.229 62638.69847 -84.254298495 33.887873260
28335670 753929.308 3753117.695 297.648 0.761 0.09897 12.227 62638.69850 -84.254298428 33.887873191
28335671 753929.304 3753117.707 297.521 0.765 0.08869 12.205 62638.69854 -84.254298460 33.887873303
28335672 753929.312 3753117.696 297.396 0.792 0.07841 12.209 62638.69857 -84.254298378 33.887873206
28335673 753929.32 3753117.685 297.271 0.796 0.06813 12.215 62638.69860 -84.254298292 33.887873104
28335674 753929.333 3753117.665 297.147 0.808 0.05785 12.232 62638.69863 -84.254298162 33.887872922
28335675 753929.338 3753117.662 297.021 0.820 0.04757 12.232 62638.69867 -84.254298113 33.887872888
28335676 753929.344 3753117.654 296.895 0.824 0.03729 12.238 62638.69870 -84.254298045 33.887872817
28335677 753929.348 3753117.652 296.77 0.827 0.02701 12.239 62638.69873 -84.254298005 33.887872797
28335678 753929.355 3753117.643 296.644 0.827 0.01673 12.249 62638.69877 -84.254297929 33.887872713
28335679 753929.364 3753117.632 296.518 0.824 0.00645 12.263 62638.69880 -84.254297841 33.887872609
28335680 753929.371 3753117.623 296.391 0.820 -0.00383 12.275 62638.69883 -84.254297769 33.887872531
28356689 754012.013 3753041.377 297.653 0.753 0.04759 16.826 62642.99959 -84.253427097 33.887165747
28356766 754012.098 3753041.464 297.821 0.757 0.05788 16.480 62643.01287 -84.253426156 33.887166510
28356767 754012.096 3753041.482 297.651 0.792 0.04759 16.458 62643.01291 -84.253426166 33.887166666
28356768 754012.1 3753041.488 297.482 0.796 0.03731 16.450 62643.01294 -84.253426126 33.887166721
28356847 754012.18 3753041.558 297.983 0.745 0.06826 16.129 62643.02615 -84.253425238 33.887167329
28356848 754012.182 3753041.569 297.817 0.796 0.05797 16.112 62643.02619 -84.253425221 33.887167429
28356849 754012.185 3753041.575 297.651 0.792 0.04769 16.102 62643.02622 -84.253425184 33.887167487
28356850 754012.187 3753041.585 297.485 0.616 0.03741 16.090 62643.02625 -84.253425163 33.887167576
28356851 754012.19 3753041.592 297.32 0.792 0.02712 16.083 62643.02628 -84.253425127 33.887167637
28356927 754012.269 3753041.639 298.136 0.757 0.07844 15.792 62643.03943 -84.253424261 33.887168045
